,cleaned_required_skills,simplified_job_title,count
611,data warehouse,Business Intelligence,2
612,data warehouse,Data Analyst,4
613,data warehouse,Data Scientist,2
614,data warehouse methodology,Data Analyst,1
615,data warehousing,Business Intelligence,3
616,data warehousing,Data Analyst,11
617,data warehousing,Data Scientist,5
618,data wrangling,Data Analyst,2
619,data wrangling,Data Scientist,8
620,database,Business Intelligence,1
621,database,Data Analyst,2
622,database,Data Scientist,1
623,database,Intern,1
624,database analysis,Business Intelligence,1
625,database application,Data Scientist,1
626,database concept,Business Intelligence,1
627,database design,Data Analyst,4
628,database design,Data Scientist,3
629,database development,Data Analyst,1
630,database knowledge,Data Analyst,1
631,database management,Business Intelligence,3
632,database management,Data Analyst,12
633,database management,Data Scientist,3
634,database management,Intern,1
635,database marketing,Data Analyst,1
636,database programming,Data Scientist,1
637,database query,Data Analyst,1
638,database querying,Data Scientist,1
639,database setup,Data Scientist,1
640,database structure,Data Scientist,1
641,database system,Data Analyst,1
642,database system,Data Scientist,1
643,database tool,Data Analyst,1
644,databrick,Data Analyst,1
645,databricks,Data Analyst,3
646,databricks,Data Scientist,10
647,datadriven decision making,Data Analyst,2
648,datadriven product development,Data Scientist,1
649,datadriven recommendation,Data Analyst,1
650,datadriven solution,Data Scientist,1
651,datadriven strategy,Data Scientist,1
652,dataframes,Data Scientist,2
653,datascience,Data Scientist,1
654,datasets,Data Scientist,1
655,dax,Business Intelligence,2
656,dax,Data Analyst,6
657,db,Data Analyst,1
658,dbt,Data Analyst,5
659,dbt,Data Scientist,3
660,dbt cloud,Business Intelligence,1
661,dc understanding,Data Analyst,1
662,decision tree,Data Scientist,1
663,deep learning,Data Scientist,34
664,deepfake detection,Data Scientist,1
665,delivery optimization,Business Intelligence,1
666,demand forecasting,Data Scientist,2
667,demand modeling,Data Scientist,1
668,denmark payroll knowledge,Data Analyst,1
669,design pattern,Data Scientist,1
670,design thinking,Data Scientist,1
671,detail orientation,Data Analyst,1
672,detail oriented,Data Analyst,1
673,detail oriented,Intern,1
674,dev ops,Data Scientist,1
675,development roadmaps,Data Scientist,1
676,devops,Data Analyst,2
677,devops,Data Scientist,4
678,devops,Intern,3
679,devops automation,Data Scientist,1
680,devops practice,Data Scientist,1
681,devsecops,Data Scientist,2
